"value","reportDate","prettyValue","realty_id","Адрес","URL","year_built","floor_count","ceiling","Тип.перекрытий","Подъездов","Количество.лифтов","flats","Реновация","Аварийность","Детская.площадка","Спортивная.площадка","Расстояние.до.первой.станции","Расстояние.до.второй.станции","Расстояние.до.третьей.станции","Название.первой.станции","Название.второй.станции","Название.третьей.станции","Ближайшая.станция.после.тритмента.расстояние","Ближайшая.станция.после.тритмента","Ближайшая.станция.до.тритмента.расстояние","Ближайшая.станция.до.тритмента","Сокращение.расстояния","cumprod","discounted_value","Number.of.queries","new_realty_id","grocery","clinic","nursery","school","api_url","Пассажирские","Грузовые","Грузовых.на.подъезд","elevators","gas_supply","sports","playground","treatment","distance","weights","subclass"
220493,"2020-03-01","220 493 ₽/м²",1,"Москва, улица Саморы Машела, 6","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+6&totalArea=38.4&roomsCount=1&offerId=309089270&floor=floorOther&repairType=repairTypeDesign",2003,22,2.64,"Другие",2,"4 пассажирских, 2 грузовых",166,"Нет","Нет","Нет","Нет",881,2370,2957,"Университет Дружбы Народов","Беляево","Тропарёво",881,"Университет Дружбы Народов",2370,"Беляево",1489,1,220493,145,1,21,3,6,3,"https://api.cian.ru/price-estimator/v2/get-infrastructure-nearby-block/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%20%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B%20%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C%206",4,2,1,2,0,0,0,1,0.423250974905713,1,"1"
228764,"2020-04-01","228 764 ₽/м²",1,"Москва, улица Саморы Машела, 6","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+6&totalArea=38.4&roomsCount=1&offerId=309089270&floor=floorOther&repairType=repairTypeDesign",2003,22,2.64,"Другие",2,"4 пассажирских, 2 грузовых",166,"Нет","Нет","Нет","Нет",881,2370,2957,"Университет Дружбы Народов","Беляево","Тропарёво",881,"Университет Дружбы Народов",2370,"Беляево",1489,1,228764,104,1,21,3,6,3,"https://api.cian.ru/price-estimator/v2/get-infrastructure-nearby-block/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%20%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B%20%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C%206",4,2,1,2,0,0,0,1,0.423250974905713,1,"2"
228764,"2020-05-01","228 764 ₽/м²",1,"Москва, улица Саморы Машела, 6","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+6&totalArea=38.4&roomsCount=1&offerId=309089270&floor=floorOther&repairType=repairTypeDesign",2003,22,2.64,"Другие",2,"4 пассажирских, 2 грузовых",166,"Нет","Нет","Нет","Нет",881,2370,2957,"Университет Дружбы Народов","Беляево","Тропарёво",881,"Университет Дружбы Народов",2370,"Беляево",1489,1,228764,89,1,21,3,6,3,"https://api.cian.ru/price-estimator/v2/get-infrastructure-nearby-block/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%20%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B%20%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C%206",4,2,1,2,0,0,0,1,0.423250974905713,1,"3"
239315,"2020-06-01","239 315 ₽/м²",1,"Москва, улица Саморы Машела, 6","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+6&totalArea=38.4&roomsCount=1&offerId=309089270&floor=floorOther&repairType=repairTypeDesign",2003,22,2.64,"Другие",2,"4 пассажирских, 2 грузовых",166,"Нет","Нет","Нет","Нет",881,2370,2957,"Университет Дружбы Народов","Беляево","Тропарёво",881,"Университет Дружбы Народов",2370,"Беляево",1489,1.0508,227745.527217358,140,1,21,3,6,3,"https://api.cian.ru/price-estimator/v2/get-infrastructure-nearby-block/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%20%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B%20%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C%206",4,2,1,2,0,0,0,1,0.423250974905713,1,"4"
236383,"2020-07-01","236 383 ₽/м²",1,"Москва, улица Саморы Машела, 6","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+6&totalArea=38.4&roomsCount=1&offerId=309089270&floor=floorOther&repairType=repairTypeDesign",2003,22,2.64,"Другие",2,"4 пассажирских, 2 грузовых",166,"Нет","Нет","Нет","Нет",881,2370,2957,"Университет Дружбы Народов","Беляево","Тропарёво",881,"Университет Дружбы Народов",2370,"Беляево",1489,1.0508,224955.272173582,285,1,21,3,6,3,"https://api.cian.ru/price-estimator/v2/get-infrastructure-nearby-block/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%20%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B%20%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C%206",4,2,1,2,0,0,0,1,0.423250974905713,1,"5"
242815,"2020-08-01","242 815 ₽/м²",1,"Москва, улица Саморы Машела, 6","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+6&totalArea=38.4&roomsCount=1&offerId=309089270&floor=floorOther&repairType=repairTypeDesign",2003,22,2.64,"Другие",2,"4 пассажирских, 2 грузовых",166,"Нет","Нет","Нет","Нет",881,2370,2957,"Университет Дружбы Народов","Беляево","Тропарёво",881,"Университет Дружбы Народов",2370,"Беляево",1489,1.0508,231076.322801675,231,1,21,3,6,3,"https://api.cian.ru/price-estimator/v2/get-infrastructure-nearby-block/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%20%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B%20%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C%206",4,2,1,2,0,0,0,1,0.423250974905713,1,"6"
264480,"2020-09-01","264 480 ₽/м²",1,"Москва, улица Саморы Машела, 6","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+6&totalArea=38.4&roomsCount=1&offerId=309089270&floor=floorOther&repairType=repairTypeDesign",2003,22,2.64,"Другие",2,"4 пассажирских, 2 грузовых",166,"Нет","Нет","Нет","Нет",881,2370,2957,"Университет Дружбы Народов","Беляево","Тропарёво",881,"Университет Дружбы Народов",2370,"Беляево",1489,1.1582,228354.342945951,165,1,21,3,6,3,"https://api.cian.ru/price-estimator/v2/get-infrastructure-nearby-block/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%20%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B%20%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C%206",4,2,1,2,0,0,0,1,0.423250974905713,1,"7"
228286,"2020-03-01","228 286 ₽/м²",10,"Москва, улица Саморы Машела, 4К4","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+4%D0%9A4&totalArea=55.2&roomsCount=2&offerId=308290049&floor=floorLast&repairType=repairTypeDesign",2002,9,2.64,"Другие",3,"6 пассажирских, 3 грузовых",87,"Нет","Нет","Нет","Нет",1213,2467,2599,"Университет Дружбы Народов","Коньково","Тропарёво",1213,"Университет Дружбы Народов",2467,"Коньково",1254,1,228286,145,10,23,3,9,6,"https://api.cian.ru/price-estimator/v2/get-infrastructure-nearby-block/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%20%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B%20%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C%204%D0%9A4",6,3,1,2,0,0,0,1,0.849964635287608,1,"8"
227848,"2020-04-01","227 848 ₽/м²",10,"Москва, улица Саморы Машела, 4К4","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+4%D0%9A4&totalArea=55.2&roomsCount=2&offerId=308290049&floor=floorLast&repairType=repairTypeDesign",2002,9,2.64,"Другие",3,"6 пассажирских, 3 грузовых",87,"Нет","Нет","Нет","Нет",1213,2467,2599,"Университет Дружбы Народов","Коньково","Тропарёво",1213,"Университет Дружбы Народов",2467,"Коньково",1254,1,227848,104,10,23,3,9,6,"https://api.cian.ru/price-estimator/v2/get-infrastructure-nearby-block/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%20%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B%20%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C%204%D0%9A4",6,3,1,2,0,0,0,1,0.849964635287608,1,"9"
227848,"2020-05-01","227 848 ₽/м²",10,"Москва, улица Саморы Машела, 4К4","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+4%D0%9A4&totalArea=55.2&roomsCount=2&offerId=308290049&floor=floorLast&repairType=repairTypeDesign",2002,9,2.64,"Другие",3,"6 пассажирских, 3 грузовых",87,"Нет","Нет","Нет","Нет",1213,2467,2599,"Университет Дружбы Народов","Коньково","Тропарёво",1213,"Университет Дружбы Народов",2467,"Коньково",1254,1,227848,89,10,23,3,9,6,"https://api.cian.ru/price-estimator/v2/get-infrastructure-nearby-block/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%20%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B%20%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C%204%D0%9A4",6,3,1,2,0,0,0,1,0.849964635287608,1,"10"
