Станция,Расстояние (м),Тип транспорта,Время в пути (мин),realty_id
Университет Дружбы Народов,881.0,Пешком,11,1
Тропарёво,2957.0,На машине,4,1
Беляево,2370.0,На машине,5,1
Калужская,1311.0,Пешком,15,2
Университет Дружбы Народов,1297.0,Пешком,16,2
Воронцовская,1483.0,Пешком,17,2
Университет Дружбы Народов,978.0,Пешком,13,3
Новаторская,2680.0,На машине,4,3
Воронцовская,1816.0,На машине,5,3
Университет Дружбы Народов,930.0,Пешком,11,4
Беляево,1169.0,Пешком,17,4
Коньково,1450.0,Пешком,17,4
Университет Дружбы Народов,1060.0,Пешком,12,5
Калужская,1542.0,Пешком,19,5
Воронцовская,1752.0,На машине,4,5
Университет Дружбы Народов,1106.0,Пешком,13,6
Тропарёво,2739.0,На машине,4,6
Коньково,2607.0,На машине,5,6
Университет Дружбы Народов,825.0,Пешком,10,7
Беляево,1180.0,Пешком,11,7
Калужская,2075.0,На машине,5,7
Университет Дружбы Народов,751.0,Пешком,9,8
Коньково,2133.0,На машине,4,8
Тропарёво,3079.0,На машине,4,8
Университет Дружбы Народов,1060.0,Пешком,12,9
Тропарёво,2809.0,На машине,3,9
Беляево,2511.0,На машине,5,9
Университет Дружбы Народов,1213.0,Пешком,14,10
Тропарёво,2599.0,На машине,4,10
Коньково,2467.0,На машине,5,10
Университет Дружбы Народов,998.0,Пешком,12,11
Беляево,2498.0,На машине,5,11
Коньково,2809.0,На машине,5,11
Университет Дружбы Народов,614.0,Пешком,7,12
Беляево,1203.0,Пешком,15,12
Коньково,2229.0,На машине,3,12
Университет Дружбы Народов,1060.0,Пешком,12,13
Коньково,1937.0,На машине,3,13
Беляево,2549.0,На машине,4,13
Университет Дружбы Народов,715.0,Пешком,8,14
Воронцовская,2063.0,На машине,5,14
Новаторская,2928.0,На машине,5,14
Университет Дружбы Народов,978.0,Пешком,13,15
Новаторская,2680.0,На машине,4,15
Воронцовская,1816.0,На машине,5,15
Университет Дружбы Народов,480.0,Пешком,6,16
Беляево,950.0,Пешком,11,16
Калужская,2251.0,На машине,4,16
Университет Дружбы Народов,527.0,Пешком,7,17
Беляево,1228.0,Пешком,15,17
