Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «троицкая линия метро», by month, 01.03.2020 — 28.02.2025, all regions, all devices;
March 2020;145;0,000;;
April 2020;104;0,000;;
May 2020;89;0,000;;
June 2020;140;0,000;;
July 2020;285;0,000;;
August 2020;231;0,000;;
September 2020;165;0,000;;
October 2020;171;0,000;;
November 2020;1252;0,000;;
December 2020;3965;0,000;;
January 2021;4242;0,000;;
February 2021;2360;0,000;;
March 2021;5047;0,000;;
April 2021;4886;0,000;;
May 2021;3581;0,000;;
June 2021;8302;0,000;;
July 2021;15217;0,000;;
August 2021;7491;0,000;;
September 2021;11447;0,000;;
October 2021;3829;0,000;;
November 2021;5839;0,000;;
December 2021;8106;0,000;;
January 2022;5887;0,000;;
February 2022;4637;0,000;;
March 2022;6103;0,000;;
April 2022;4312;0,000;;
May 2022;6927;0,000;;
June 2022;9903;0,000;;
July 2022;5384;0,000;;
August 2022;6974;0,000;;
September 2022;6155;0,000;;
October 2022;14684;0,000;;
November 2022;24961;0,000;;
December 2022;17100;0,000;;
January 2023;10806;0,000;;
February 2023;12911;0,000;;
March 2023;18245;0,000;;
April 2023;9486;0,000;;
May 2023;10085;0,000;;
June 2023;14051;0,000;;
July 2023;9180;0,000;;
August 2023;11598;0,000;;
September 2023;10264;0,000;;
October 2023;14628;0,000;;
November 2023;15790;0,000;;
December 2023;13278;0,000;;
January 2024;19351;0,000;;
February 2024;15252;0,000;;
March 2024;15879;0,000;;
April 2024;10367;0,000;;
May 2024;12641;0,000;;
June 2024;21350;0,000;;
July 2024;14210;0,000;;
August 2024;28204;0,000;;
September 2024;78510;0,001;;
October 2024;19733;0,000;;
November 2024;17202;0,000;;
December 2024;38138;0,000;;
January 2025;20747;0,000;;
February 2025;15638;0,000;;
